Sample,I,Q
43503,3768,6460
43504,3748,6480
43505,3764,6516
43506,3744,6464
43507,3716,6516
43508,3768,6492
43509,3740,6488
43510,3728,6512
43511,3748,6484
43512,3748,6504
43513,3728,6488
43514,3752,6496
43515,3740,6504
43516,3756,6504
43517,3724,6516
43518,3720,6492
43519,3748,6508
43520,3716,6492
43521,3736,6528
43522,3724,6516
43523,3712,6532
43524,3728,6520
43525,3724,6520
43526,3712,6532
43527,3736,6524
43528,3700,6516
43529,3668,6540
43530,3744,6548
43531,3672,6532
43532,3688,6524
43533,3704,6560
43534,3680,6524
43535,3696,6560
43536,3676,6564
43537,3676,6524
43538,3656,6612
43539,3676,6516
43540,3672,6564
43541,3684,6572
43542,3672,6532
43543,3664,6580
43544,3672,6576
43545,3652,6572
43546,3680,6584
43547,3684,6568
43548,3656,6580
43549,3652,6596
43550,3644,6572
43551,3652,6564
43552,3664,6576
43553,3656,6576
43554,3644,6568
43555,3620,6592
43556,3640,6604
43557,3632,6588
43558,3636,6584
43559,3632,6608
43560,3632,6592
43561,3624,6596
43562,3616,6596
43563,3604,6628
43564,3588,6616
43565,3596,6644
43566,3544,6672
43567,3560,6640
43568,3536,6680
43569,3508,6680
43570,3528,6672
43571,3524,6696
43572,3504,6700
43573,3480,6696
43574,3492,6732
43575,3456,6712
43576,3468,6756
43577,3424,6760
43578,3424,6736
43579,3444,6784
43580,3408,6772
43581,3424,6744
43582,3396,6804
43583,3404,6748
43584,3372,6832
43585,3356,6788
43586,3344,6836
43587,3320,6860
43588,3312,6836
43589,3304,6852
43590,3328,6836
43591,3280,6872
43592,3312,6852
43593,3276,6868
43594,3292,6852
43595,3292,6888
43596,3268,6868
43597,3284,6884
43598,3240,6880
43599,3276,6892
43600,3224,6912
43601,3236,6912
43602,3244,6932
43603,3216,6908
43604,3240,6920
43605,3212,6924
43606,3224,6896
43607,3220,6928
43608,3204,6916
43609,3208,6916
43610,3228,6928
43611,3204,6904
43612,3212,6932
43613,3220,6932
43614,3192,6912
43615,3180,6964
43616,3200,6940
43617,3172,6928
43618,3164,6980
43619,3196,6924
43620,3192,6952
43621,3184,6940
43622,3192,6940
43623,3192,6956
43624,3184,6936
43625,3176,6968
43626,3200,6932
43627,3192,6960
43628,3196,6928
43629,3204,6940
43630,3188,6928
43631,3196,6912
43632,3220,6960
43633,3196,6908
43634,3180,6964
43635,3200,6936
43636,3164,6928
43637,3180,6928
43638,3200,6944
43639,3168,6952
43640,3192,6916
43641,3188,6968
43642,3196,6928
43643,3212,6944
43644,3200,6932
43645,3208,6924
43646,3172,6952
43647,3216,6944
43648,3180,6932
43649,3188,6968
43650,3148,6984
43651,3160,6960
43652,3184,6972
43653,3116,6948
43654,3168,6984
43655,3144,6944
43656,3160,6972
43657,3152,6968
43658,3120,6964
43659,3140,7012
43660,3132,6964
43661,3128,6992
43662,3104,6996
43663,3104,7008
43664,3084,6996
43665,3116,7004
43666,3068,7012
43667,3068,7044
43668,3084,6996
43669,3024,7020
43670,3060,7060
43671,3040,7024
43672,3008,7060
43673,3044,7064
43674,3004,7056
43675,2996,7064
43676,3020,7068
43677,2964,7056
43678,2996,7072
43679,2988,7064
43680,2968,7076
43681,2952,7100
43682,2980,7056
43683,2976,7100
43684,2940,7096
43685,2940,7080
43686,2924,7132
43687,2920,7100
43688,2932,7116
43689,2920,7108
43690,2932,7100
43691,2936,7120
43692,2912,7108
43693,2924,7096
43694,2916,7128
43695,2940,7096
43696,2908,7116
43697,2916,7124
43698,2924,7104
43699,2904,7140
43700,2920,7100
43701,2904,7136
43702,2932,7108
43703,2900,7108
43704,2928,7116
43705,2936,7100
43706,2920,7108
43707,2916,7112
43708,2924,7104
43709,2976,7104
43710,2916,7088
43711,2964,7088
43712,2924,7124
43713,2948,7060
43714,2952,7124
43715,2944,7076
43716,2964,7108
43717,2952,7092
43718,2956,7076
43719,2968,7108
43720,2976,7052
43721,2940,7116
43722,2956,7116
43723,2940,7072
43724,2924,7132
43725,2924,7120
43726,2932,7076
43727,2952,7136
43728,2936,7084
43729,2896,7132
43730,2928,7144
43731,2940,7076
43732,2912,7148
43733,2920,7112
43734,2940,7116
43735,2908,7136
43736,2928,7088
43737,2896,7132
43738,2900,7128
43739,2868,7136
43740,2864,7136
43741,2888,7160
43742,2816,7180
43743,2872,7160
43744,2816,7160
43745,2832,7180
43746,2848,7156
43747,2792,7184
43748,2824,7188
43749,2808,7164
43750,2804,7188
43751,2804,7188
43752,2812,7204
43753,2772,7204
43754,2808,7184
43755,2776,7184
43756,2756,7212
43757,2792,7220
43758,2744,7192
43759,2764,7220
43760,2756,7200
43761,2712,7208
43762,2756,7224
43763,2720,7208
43764,2748,7244
43765,2720,7220
43766,2692,7224
43767,2732,7248
43768,2684,7216
43769,2704,7240
43770,2688,7236
43771,2712,7244
43772,2712,7240
43773,2676,7228
43774,2708,7240
43775,2692,7248
43776,2684,7248
43777,2692,7252
43778,2672,7268
43779,2676,7256
43780,2664,7252
43781,2660,7272
43782,2656,7256
43783,2628,7256
43784,2652,7284
43785,2652,7256
43786,2668,7276
43787,2652,7252
43788,2656,7276
43789,2664,7268
43790,2636,7252
43791,2676,7280
43792,2656,7260
43793,2644,7260
43794,2688,7268
43795,2652,7264
43796,2652,7272
43797,2684,7244
43798,2652,7276
43799,2656,7268
43800,2680,7256
43801,2676,7276
43802,2696,7228
43803,2672,7272
43804,2664,7252
43805,2664,7268
43806,2668,7284
43807,2640,7236
43808,2660,7276
43809,2668,7256
43810,2672,7240
43811,2680,7264
43812,2708,7232
43813,2696,7244
43814,2692,7240
43815,2720,7244
43816,2680,7236
43817,2716,7240
43818,2696,7236
43819,2704,7232
43820,2720,7248
43821,2696,7212
43822,2740,7256
43823,2720,7228
43824,2728,7228
43825,2736,7236
43826,2720,7220
43827,2768,7248
43828,2716,7188
43829,2724,7256
43830,2744,7200
43831,2768,7216
43832,2780,7228
43833,2748,7180
43834,2780,7216
43835,2776,7196
43836,2760,7204
43837,2776,7204
43838,2780,7196
43839,2792,7212
43840,2792,7192
43841,2784,7208
43842,2760,7208
43843,2792,7188
43844,2764,7220
43845,2756,7208
43846,2788,7232
43847,2760,7200
43848,2816,7184
43849,2772,7216
43850,2788,7188
43851,2804,7204
43852,2792,7196
43853,2796,7180
43854,2804,7208
43855,2788,7192
43856,2776,7196
43857,2792,7196
43858,2764,7204
43859,2788,7200
43860,2772,7200
43861,2788,7204
43862,2756,7212
43863,2764,7216
43864,2784,7204
43865,2752,7212
43866,2764,7204
43867,2764,7220
43868,2744,7220
43869,2736,7212
43870,2736,7236
43871,2736,7200
43872,2716,7244
43873,2716,7220
43874,2736,7216
43875,2704,7252
43876,2704,7224
43877,2712,7256
43878,2704,7236
43879,2708,7236
43880,2696,7256
43881,2676,7252
43882,2684,7264
43883,2688,7232
43884,2680,7256
43885,2636,7268
43886,2676,7248
43887,2632,7292
43888,2632,7288
43889,2640,7256
43890,2580,7284
43891,2628,7312
43892,2576,7284
43893,2600,7300
43894,2592,7320
43895,2592,7288
43896,2588,7296
43897,2560,7304
43898,2576,7316
43899,2536,7324
43900,2532,7328
43901,2536,7308
43902,2516,7348
43903,2520,7340
43904,2540,7320
43905,2508,7356
43906,2492,7332
43907,2524,7356
43908,2456,7348
43909,2472,7368
43910,2492,7384
43911,2416,7356
43912,2468,7396
43913,2424,7368
43914,2400,7396
43915,2424,7396
43916,2360,7388
43917,2392,7412
43918,2336,7404
43919,2368,7412
43920,2332,7404
43921,2340,7432
43922,2336,7432
43923,2264,7412
43924,2336,7428
43925,2296,7436
43926,2308,7420
43927,2288,7464
43928,2280,7440
43929,2296,7424
43930,2260,7480
43931,2264,7448
43932,2260,7460
43933,2216,7460
43934,2264,7464
43935,2212,7472
43936,2236,7448
43937,2264,7476
43938,2204,7440
43939,2268,7444
43940,2216,7468
43941,2224,7440
43942,2224,7480
43943,2196,7468
43944,2228,7464
43945,2200,7492
43946,2204,7460
43947,2240,7484
43948,2208,7460
43949,2244,7488
43950,2212,7460
43951,2200,7468
43952,2228,7488
43953,2212,7456
43954,2208,7484
43955,2212,7488
43956,2168,7468
43957,2216,7476
43958,2184,7484
43959,2208,7476
43960,2228,7480
43961,2180,7468
43962,2240,7480
43963,2180,7476
43964,2204,7472
43965,2192,7456
43966,2208,7512
43967,2216,7448
43968,2204,7476
43969,2204,7492
43970,2188,7444
43971,2216,7488
43972,2200,7456
43973,2160,7488
43974,2216,7488
43975,2188,7480
43976,2204,7464
43977,2208,7484
43978,2164,7468
43979,2232,7472
43980,2140,7496
43981,2192,7484
43982,2144,7504
43983,2152,7492
43984,2156,7500
43985,2124,7504
43986,2200,7484
43987,2132,7504
43988,2196,7488
43989,2128,7496
43990,2172,7500
43991,2132,7476
43992,2148,7516
43993,2148,7476
43994,2144,7500
43995,2184,7516
43996,2072,7492
43997,2152,7516
43998,2096,7516
43999,2112,7524
44000,2120,7528
44001,2120,7496
44002,2096,7548
44003,2084,7520
44004,2092,7528
44005,2052,7532
44006,2080,7512
44007,2068,7544
44008,2072,7512
44009,2088,7524
44010,2064,7548
44011,2076,7508
44012,2076,7528
44013,2072,7532
44014,2064,7520
44015,2028,7532
44016,2072,7540
44017,2028,7532
44018,2024,7532
44019,2060,7536
44020,2016,7520
44021,2020,7556
44022,2012,7536
44023,2020,7536
44024,2004,7552
44025,2040,7524
44026,2012,7540
44027,1996,7552
44028,2024,7540
44029,1992,7556
44030,2024,7548
44031,2060,7516
44032,2024,7580
44033,2032,7516
44034,2020,7556
44035,2056,7560
44036,2004,7520
44037,2044,7540
44038,2060,7540
44039,1964,7552
44040,2056,7532
44041,1992,7556
44042,2028,7544
44043,2044,7544
44044,2032,7528
44045,2024,7544
44046,2032,7564
44047,2044,7532
44048,2008,7528
44049,2052,7564
44050,2000,7504
44051,2040,7568
44052,2036,7524
44053,2012,7552
44054,2044,7536
44055,2040,7528
44056,2020,7544
44057,2020,7520
44058,2024,7580
44059,2000,7516
44060,2032,7564
44061,2016,7552
44062,2012,7532
44063,1992,7568
44064,2020,7532
44065,2008,7544
44066,1964,7544
44067,1984,7548
44068,1992,7584
44069,1968,7516
44070,1976,7584
44071,1956,7544
44072,1976,7548
44073,1972,7580
44074,1944,7544
44075,1956,7568
44076,1956,7564
44077,1948,7576
44078,1936,7564
44079,1948,7580
44080,1932,7564
44081,1896,7580
44082,1904,7584
44083,1928,7576
44084,1872,7584
44085,1916,7592
44086,1920,7544
44087,1888,7584
44088,1936,7584
44089,1896,7552
44090,1868,7584
44091,1940,7576
44092,1860,7592
44093,1888,7568
44094,1956,7568
44095,1884,7596
44096,1916,7564
44097,1912,7568
44098,1892,7592
44099,1888,7560
44100,1892,7584
44101,1876,7572
44102,1904,7596
44103,1884,7572
44104,1900,7564
44105,1876,7612
44106,1832,7564
44107,1880,7636
44108,1828,7592
44109,1828,7576
44110,1860,7620
44111,1832,7576
44112,1832,7600
44113,1828,7600
44114,1844,7584
44115,1812,7616
44116,1816,7576
44117,1808,7628
44118,1796,7584
44119,1832,7608
44120,1788,7612
44121,1800,7580
44122,1796,7644
44123,1796,7560
44124,1788,7616
44125,1776,7620
44126,1776,7596
44127,1772,7636
44128,1772,7600
44129,1764,7604
44130,1764,7616
44131,1764,7608
44132,1768,7604
44133,1744,7608
44134,1716,7616
44135,1764,7612
44136,1724,7632
44137,1732,7616
44138,1728,7612
44139,1708,7636
44140,1748,7616
44141,1688,7636
44142,1732,7612
44143,1720,7628
44144,1708,7616
44145,1708,7632
44146,1704,7640
44147,1704,7620
44148,1692,7636
44149,1736,7612
44150,1684,7632
44151,1708,7628
44152,1700,7636
44153,1660,7640
44154,1724,7624
44155,1668,7628
44156,1696,7644
44157,1716,7624
44158,1636,7624
44159,1700,7640
44160,1676,7616
44161,1688,7632
44162,1700,7612
44163,1648,7648
44164,1728,7616
44165,1672,7612
44166,1652,7640
44167,1712,7612
44168,1640,7640
44169,1688,7628
44170,1636,7628
44171,1656,7628
44172,1664,7664
44173,1640,7632
44174,1664,7632
44175,1644,7648
44176,1640,7624
44177,1636,7648
44178,1624,7648
44179,1604,7640
44180,1664,7640
44181,1596,7644
44182,1672,7644
44183,1664,7636
44184,1600,7636
44185,1664,7656
44186,1636,7652
44187,1632,7636
44188,1648,7656
44189,1632,7660
44190,1616,7636
44191,1632,7664
44192,1620,7632
44193,1628,7664
44194,1632,7644
44195,1608,7656
44196,1632,7640
44197,1616,7644
44198,1604,7664
44199,1656,7612
44200,1632,7656
44201,1612,7640
44202,1660,7636
44203,1608,7656
44204,1648,7644
44205,1644,7636
44206,1636,7660
44207,1648,7628
44208,1608,7636
44209,1616,7672
44210,1616,7636
44211,1604,7640
44212,1592,7680
44213,1644,7624
44214,1604,7640
44215,1584,7688
44216,1620,7620
44217,1564,7664
44218,1572,7656
44219,1568,7664
44220,1588,7628
44221,1556,7644
44222,1556,7700
44223,1592,7604
44224,1520,7680
44225,1576,7668
44226,1532,7624
44227,1560,7696
44228,1544,7644
44229,1504,7660
44230,1540,7684
44231,1492,7652
44232,1480,7668
44233,1488,7676
44234,1488,7676
44235,1480,7676
44236,1480,7668
44237,1440,7680
44238,1428,7688
44239,1436,7664
44240,1432,7676
44241,1412,7684
44242,1428,7696
44243,1420,7684
44244,1392,7684
44245,1380,7680
44246,1368,7692
44247,1352,7680
44248,1344,7688
44249,1324,7684
44250,1316,7708
44251,1332,7684
44252,1304,7688
44253,1324,7712
44254,1308,7672
44255,1284,7708
44256,1284,7712
44257,1252,7700
44258,1284,7700
44259,1280,7704
44260,1276,7684
44261,1276,7692
44262,1252,7720
44263,1224,7696
44264,1252,7700
44265,1232,7736
44266,1236,7660
44267,1232,7720
44268,1184,7716
44269,1232,7664
44270,1220,7756
44271,1188,7708
44272,1224,7692
44273,1216,7720
44274,1196,7716
44275,1204,7684
44276,1168,7732
44277,1192,7704
44278,1192,7732
44279,1176,7688
44280,1156,7724
44281,1184,7736
44282,1184,7668
44283,1156,7748
44284,1160,7712
44285,1144,7692
44286,1136,7728
44287,1124,7728
44288,1136,7696
44289,1144,7732
44290,1116,7704
44291,1156,7700
44292,1116,7736
44293,1104,7692
44294,1136,7716
44295,1104,7700
44296,1176,7724
44297,1100,7724
44298,1100,7684
44299,1124,7748
44300,1068,7704
44301,1096,7732
44302,1088,7708
44303,1092,7712
44304,1064,7744
44305,1080,7708
44306,1064,7752
44307,1068,7688
44308,1036,7756
44309,1044,7692
44310,1048,7756
44311,1024,7744
44312,1084,7676
44313,1036,7748
44314,1024,7712
44315,1056,7712
44316,1028,7736
44317,1048,7696
44318,1036,7728
44319,1032,7720
44320,1032,7720
44321,1048,7708
44322,1028,7724
44323,1036,7748
44324,1040,7684
44325,996,7768
44326,1040,7672
44327,996,7764
44328,1004,7700
44329,1028,7700
44330,1016,7772
44331,1028,7664
44332,988,7756
44333,1004,7720
44334,980,7712
44335,992,7728
44336,984,7712
44337,972,7744
44338,1000,7712
44339,1000,7712
44340,1020,7720
44341,996,7728
44342,972,7716
44343,1008,7732
44344,1012,7716
44345,940,7740
44346,992,7716
44347,976,7696
44348,936,7748
44349,924,7672
44350,960,7756
44351,956,7644
44352,920,7792
44353,952,7688
44354,928,7700
44355,932,7768
44356,920,7668
44357,904,7756
44358,904,7708
44359,900,7728
44360,868,7728
44361,860,7716
44362,868,7728
44363,868,7708
44364,852,7744
44365,848,7704
44366,832,7736
44367,832,7744
44368,840,7696
44369,824,7756
44370,828,7696
44371,852,7728
44372,840,7724
44373,880,7716
44374,864,7720
44375,848,7708
44376,892,7688
44377,852,7744
44378,884,7696
44379,876,7712
44380,868,7740
44381,896,7644
44382,856,7848
44383,904,7632
44384,888,7744
44385,896,7760
44386,908,7688
44387,872,7760
44388,936,7688
44389,924,7744
44390,924,7712
44391,924,7748
44392,928,7688
44393,928,7740
44394,956,7720
44395,924,7704
44396,932,7752
44397,940,7696
44398,904,7744
44399,928,7716
44400,896,7708
44401,936,7736
44402,892,7728
44403,912,7692
44404,912,7776
44405,884,7656
44406,932,7748
44407,892,7724
44408,864,7696
44409,872,7760
44410,876,7644
44411,880,7844
44412,876,7648
44413,876,7744
44414,860,7756
44415,856,7684
44416,832,7752
44417,848,7664
44418,852,7752
44419,828,7716
44420,844,7720
44421,828,7728
44422,812,7740
44423,816,7716
44424,808,7764
44425,816,7656
44426,808,7788
44427,784,7688
44428,784,7688
44429,780,7908
44430,772,7320
44431,780,8156
44432,788,7588
44433,792,7648
44434,764,7900
44435,780,7532
44436,796,7904
44437,792,7592
44438,752,7800
44439,772,7684
44440,780,7748
44441,732,7692
44442,792,7768
44443,748,7716
44444,756,7720
44445,760,7712
44446,748,7728
44447,788,7712
44448,748,7716
44449,748,7744
44450,756,7664
44451,732,7796
44452,748,7644
44453,736,7780
44454,736,7712
44455,736,7696
44456,724,7796
44457,752,7652
44458,724,7784
44459,740,7692
44460,736,7744
44461,720,7740
44462,724,7716
44463,700,7740
44464,732,7724
44465,736,7740
44466,700,7704
44467,744,7728
44468,704,7720
44469,720,7716
44470,732,7732
44471,660,7728
44472,736,7732
44473,708,7712
44474,728,7732
44475,720,7732
44476,712,7740
44477,744,7724
44478,708,7712
44479,712,7776
44480,716,7676
44481,664,7772
44482,696,7728
44483,676,7692
44484,648,7752
44485,684,7668
44486,684,7748
44487,676,7728
44488,652,7708
44489,660,7724
44490,632,7716
44491,660,7720
44492,620,7716
44493,612,7724
44494,636,7700
44495,576,7732
44496,624,7712
44497,584,7700
44498,568,7724
44499,608,7676
44500,556,7736
44501,584,7716
44502,556,7684
44503,564,7768
44504,552,7684
44505,564,7720
44506,564,7740
44507,536,7696
44508,560,7712
44509,492,7724
44510,548,7708
44511,544,7720
44512,516,7696
44513,564,7744
44514,516,7696
44515,532,7712
44516,484,7712
44517,512,7708
44518,520,7700
44519,488,7716
44520,508,7720
44521,524,7700
44522,496,7724
44523,504,7704
44524,536,7720
44525,496,7688
44526,552,7736
44527,504,7656
44528,492,7760
44529,508,7652
44530,508,7756
44531,512,7684
44532,492,7700
44533,496,7732
44534,448,7612
44535,504,7888
44536,476,7376
44537,492,8004
44538,520,7668
44539,456,7572
44540,536,7892
44541,468,7564
44542,476,7812
44543,480,7652
44544,472,7752
44545,500,7688
44546,448,7720
44547,456,7688
44548,472,7708
44549,456,7704
44550,428,7668
44551,460,7756
44552,400,7668
44553,432,7688
44554,444,7720
44555,416,7700
44556,412,7696
44557,380,7704
44558,380,7684
44559,372,7680
44560,356,7716
44561,364,7684
44562,364,7720
44563,320,7684
44564,324,7664
44565,348,7740
44566,348,7668
44567,320,7688
44568,360,7708
44569,336,7680
44570,320,7696
44571,324,7688
44572,312,7708
44573,312,7660
44574,316,7708
44575,308,7668
44576,284,7684
44577,320,7736
44578,300,7644
44579,280,7716
44580,312,7680
44581,292,7680
44582,300,7692
44583,296,7680
44584,248,7684
44585,304,7700
44586,256,7676
44587,284,7680
44588,256,7680
44589,252,7656
44590,288,7728
44591,216,7648
44592,296,7700
44593,228,7676
44594,256,7688
44595,272,7672
44596,232,7672
44597,272,7692
44598,224,7672
44599,260,7688
44600,228,7680
44601,268,7708
44602,260,7672
44603,216,7700
44604,252,7676
44605,228,7676
44606,256,7692
44607,240,7688
44608,224,7672
44609,240,7688
44610,236,7684
44611,188,7652
44612,212,7672
44613,176,7688
44614,192,7676
44615,252,7676
44616,132,7680
44617,228,7672
44618,184,7672
44619,160,7656
44620,208,7676
44621,144,7680
44622,184,7628
44623,160,7716
44624,156,7624
44625,148,7660
44626,100,7684
44627,144,7668
44628,128,7664
44629,140,7660
44630,104,7668
44631,64,7628
44632,128,7672
44633,60,7648
44634,108,7640
44635,112,7668
44636,64,7660
44637,60,7636
44638,60,7664
44639,60,7640
44640,36,7652
44641,76,7660
44642,24,7648
44643,16,7648
44644,40,7660
44645,44,7636
44646,-16,7652
44647,36,7660
44648,8,7616
44649,0,7672
44650,12,7624
44651,-36,7648
44652,20,7624
44653,-56,7660
44654,12,7632
44655,-28,7608
44656,-32,7676
44657,32,7596
44658,-36,7656
44659,8,7620
44660,4,7640
44661,-32,7624
44662,28,7656
44663,-28,7620
44664,4,7644
44665,-12,7664
44666,-12,7600
44667,24,7712
44668,-44,7568
44669,8,7708
44670,-20,7596
44671,0,7684
44672,8,7664
44673,-4,7564
44674,4,7732
44675,-32,7564
44676,-4,7676
44677,16,7624
44678,-4,7628
44679,-24,7684
44680,0,7600
44681,-16,7668
44682,-68,7604
44683,-44,7640
44684,-80,7636
44685,-60,7628
44686,-20,7636
44687,-60,7624
44688,-64,7652
44689,-64,7620
44690,-76,7620
44691,-76,7628
44692,-60,7628
44693,-128,7616
44694,-48,7640
44695,-88,7632
44696,-76,7612
44697,-96,7612
44698,-112,7628
44699,-104,7600
44700,-140,7644
44701,-152,7588
44702,-136,7616
44703,-112,7616
44704,-196,7604
44705,-104,7644
44706,-212,7564
44707,-144,7640
44708,-172,7604
44709,-204,7588
44710,-160,7616
44711,-212,7616
44712,-164,7592
44713,-208,7608
44714,-188,7608
44715,-200,7596
44716,-224,7592
44717,-224,7576
44718,-208,7612
44719,-264,7584
44720,-236,7604
44721,-280,7580
44722,-264,7588
44723,-280,7604
44724,-256,7568
44725,-276,7604
44726,-308,7572
44727,-276,7580
44728,-360,7588
44729,-264,7572
44730,-368,7588
44731,-308,7552
44732,-364,7580
44733,-360,7568
44734,-336,7568
44735,-368,7568
44736,-304,7572
44737,-372,7580
44738,-332,7548
44739,-340,7580
44740,-392,7552
44741,-340,7560
44742,-384,7552
44743,-404,7568
44744,-408,7544
44745,-360,7560
44746,-408,7572
44747,-380,7552
44748,-340,7588
44749,-396,7548
44750,-308,7576
44751,-412,7572
44752,-376,7552
44753,-356,7572
44754,-420,7568
44755,-360,7536
44756,-392,7568
44757,-404,7552
44758,-360,7564
44759,-416,7564
44760,-380,7552
44761,-380,7572
44762,-380,7532
44763,-384,7572
44764,-392,7556
44765,-376,7556
44766,-396,7564
44767,-352,7568
44768,-352,7572
44769,-328,7544
44770,-348,7600
44771,-364,7548
44772,-344,7576
44773,-368,7572
44774,-340,7556
44775,-312,7588
44776,-360,7560
44777,-300,7608
44778,-336,7584
44779,-292,7564
44780,-296,7612
44781,-344,7572
44782,-300,7592
44783,-344,7572
44784,-340,7576
44785,-352,7584
44786,-380,7564
44787,-344,7572
44788,-384,7540
44789,-348,7572
44790,-352,7564
44791,-368,7576
44792,-344,7568
44793,-400,7556
44794,-364,7560
44795,-372,7560
44796,-388,7576
44797,-368,7552
44798,-372,7536
44799,-388,7580
44800,-420,7544
44801,-388,7568
44802,-376,7552
44803,-404,7532
44804,-372,7568
44805,-376,7544
44806,-408,7556
44807,-380,7552
44808,-376,7540
44809,-396,7568
44810,-412,7572
44811,-376,7540
44812,-400,7560
44813,-392,7548
44814,-384,7548
44815,-396,7540
44816,-416,7552
44817,-352,7560
44818,-388,7540
44819,-400,7560
44820,-372,7540
44821,-436,7556
44822,-396,7552
44823,-452,7536
44824,-400,7548
44825,-416,7512
44826,-464,7584
44827,-432,7500
44828,-464,7540
44829,-468,7556
44830,-448,7520
44831,-444,7552
44832,-464,7508
44833,-476,7572
44834,-444,7528
44835,-468,7524
44836,-472,7564
44837,-456,7508
44838,-480,7528
44839,-460,7560
44840,-508,7508
44841,-464,7548
44842,-492,7528
44843,-500,7524
44844,-476,7544
44845,-508,7524
44846,-472,7536
44847,-504,7504
44848,-512,7556
44849,-484,7516
44850,-516,7516
44851,-500,7540
44852,-512,7536
44853,-516,7512
44854,-528,7536
44855,-552,7500
44856,-540,7536
44857,-552,7528
44858,-536,7484
44859,-564,7540
44860,-556,7496
44861,-560,7532
44862,-584,7504
44863,-568,7492
44864,-604,7508
44865,-612,7492
44866,-640,7492
44867,-628,7488
44868,-644,7472
44869,-632,7480
44870,-604,7492
44871,-636,7508
44872,-596,7484
44873,-612,7504
44874,-616,7496
44875,-640,7484
44876,-652,7504
44877,-640,7464
44878,-644,7500
44879,-676,7492
44880,-664,7452
44881,-668,7500
44882,-700,7480
44883,-684,7456
44884,-696,7496
44885,-692,7456
44886,-692,7492
44887,-712,7460
44888,-700,7476
44889,-716,7476
44890,-700,7444
44891,-720,7476
44892,-740,7460
44893,-736,7472
44894,-720,7448
44895,-736,7468
44896,-732,7464
44897,-696,7464
44898,-772,7468
44899,-748,7436
44900,-732,7484
44901,-764,7436
44902,-728,7468
44903,-720,7492
44904,-736,7448
44905,-748,7472
44906,-740,7460
44907,-744,7468
44908,-720,7432
44909,-736,7484
44910,-760,7444
44911,-764,7444
44912,-796,7472
44913,-800,7404
44914,-808,7476
44915,-832,7412
44916,-816,7424
44917,-828,7448
44918,-840,7408
44919,-824,7456
44920,-844,7428
44921,-856,7420
44922,-848,7412
44923,-844,7440
44924,-856,7424
44925,-864,7412
44926,-884,7440
44927,-888,7396
44928,-908,7432
44929,-896,7416
44930,-948,7396
44931,-940,7404
44932,-944,7392
44933,-952,7396
44934,-944,7404
44935,-960,7408
44936,-932,7400
44937,-964,7392
44938,-972,7376
44939,-1012,7388
44940,-988,7376
44941,-1020,7368
44942,-1004,7372
44943,-1000,7388
44944,-1020,7340
44945,-1012,7372
44946,-1048,7388
44947,-1040,7356
44948,-1084,7340
44949,-1068,7360
44950,-1072,7360
44951,-1068,7344
44952,-1068,7364
44953,-1100,7348
44954,-1084,7352
44955,-1096,7364
44956,-1100,7328
44957,-1112,7352
44958,-1108,7364
44959,-1128,7304
44960,-1140,7344
44961,-1116,7328
44962,-1136,7304
44963,-1128,7356
44964,-1100,7328
44965,-1136,7340
44966,-1112,7332
44967,-1160,7340
44968,-1144,7312
44969,-1128,7324
44970,-1152,7356
44971,-1124,7296
44972,-1176,7340
44973,-1112,7320
44974,-1160,7312
44975,-1180,7316
44976,-1180,7316
44977,-1216,7304
44978,-1168,7288
44979,-1212,7324
44980,-1212,7292
44981,-1208,7292
44982,-1240,7288
44983,-1228,7276
44984,-1240,7312
44985,-1272,7260
44986,-1252,7292
44987,-1268,7276
44988,-1284,7252
44989,-1292,7284
44990,-1276,7260
44991,-1304,7268
44992,-1304,7276
44993,-1316,7252
44994,-1340,7240
44995,-1320,7280
44996,-1320,7244
44997,-1312,7268
44998,-1316,7272
44999,-1312,7256
45000,-1336,7268
45001,-1328,7256
45002,-1356,7248
45003,-1340,7256
45004,-1364,7244
45005,-1364,7260
45006,-1360,7252
45007,-1388,7240
45008,-1384,7244
45009,-1388,7240
45010,-1392,7236
45011,-1428,7220
45012,-1400,7232
45013,-1444,7188
45014,-1452,7244
45015,-1408,7204
45016,-1472,7200
45017,-1432,7216
45018,-1444,7212
45019,-1452,7220
45020,-1408,7216
45021,-1488,7220
45022,-1432,7200
45023,-1460,7212
45024,-1464,7188
45025,-1444,7216
45026,-1468,7216
45027,-1432,7208
45028,-1500,7176
45029,-1444,7204
45030,-1476,7204
45031,-1468,7188
45032,-1452,7200
45033,-1460,7204
45034,-1440,7212
45035,-1472,7184
45036,-1456,7208
45037,-1468,7188
45038,-1468,7220
45039,-1492,7192
45040,-1484,7192
45041,-1468,7216
45042,-1492,7192
45043,-1492,7196
45044,-1512,7168
45045,-1512,7188
45046,-1504,7196
45047,-1520,7172
45048,-1504,7200
45049,-1504,7176
45050,-1528,7156
45051,-1500,7188
45052,-1524,7176
45053,-1536,7176
45054,-1544,7172
45055,-1536,7180
45056,-1536,7160
45057,-1560,7184
45058,-1528,7172
45059,-1592,7184
45060,-1540,7168
45061,-1596,7152
45062,-1596,7164
45063,-1576,7152
45064,-1608,7168
45065,-1592,7148
45066,-1604,7140
45067,-1632,7168
45068,-1616,7140
45069,-1620,7148
45070,-1652,7148
45071,-1672,7120
45072,-1648,7152
45073,-1656,7104
45074,-1672,7136
45075,-1648,7128
45076,-1676,7112
45077,-1672,7140
