Sample,I,Q
354,4124,-5952
355,4144,-5948
356,4152,-5984
357,4116,-5960
358,4136,-5960
359,4124,-5972
360,4132,-5952
361,4140,-5980
362,4148,-5960
363,4152,-5976
364,4124,-5948
365,4168,-5980
366,4148,-5936
367,4184,-5964
368,4184,-5932
369,4172,-5920
370,4208,-5968
371,4200,-5876
372,4216,-5948
373,4232,-5912
374,4220,-5880
375,4208,-5960
376,4192,-5888
377,4220,-5932
378,4236,-5912
379,4204,-5900
380,4248,-5936
381,4228,-5872
382,4228,-5924
383,4240,-5884
384,4272,-5904
385,4272,-5880
386,4280,-5868
387,4256,-5904
388,4280,-5844
389,4308,-5912
390,4268,-5828
391,4296,-5912
392,4292,-5872
393,4320,-5832
394,4300,-5896
395,4292,-5844
396,4316,-5880
397,4340,-5848
398,4344,-5840
399,4344,-5844
400,4372,-5828
401,4348,-5832
402,4376,-5828
403,4384,-5812
404,4372,-5832
405,4384,-5832
406,4368,-5812
407,4392,-5832
408,4400,-5812
409,4408,-5824
410,4420,-5804
411,4420,-5788
412,4416,-5804
413,4412,-5780
414,4424,-5820
415,4412,-5804
416,4412,-5792
417,4408,-5820
418,4424,-5780
419,4428,-5788
420,4420,-5800
421,4432,-5776
422,4448,-5804
423,4440,-5792
424,4440,-5792
425,4440,-5776
426,4444,-5788
427,4440,-5784
428,4412,-5784
429,4448,-5796
430,4472,-5756
431,4476,-5768
432,4468,-5780
433,4444,-5760
434,4476,-5768
435,4456,-5772
436,4448,-5760
437,4452,-5784
438,4424,-5768
439,4444,-5768
440,4456,-5808
441,4456,-5764
442,4460,-5764
443,4448,-5772
444,4456,-5772
445,4464,-5756
446,4432,-5780
447,4460,-5788
448,4472,-5728
449,4464,-5804
450,4464,-5760
451,4468,-5744
452,4448,-5800
453,4444,-5756
454,4476,-5768
455,4452,-5784
456,4456,-5736
457,4448,-5776
458,4456,-5792
459,4460,-5744
460,4440,-5792
461,4480,-5772
462,4440,-5776
463,4456,-5772
464,4460,-5756
465,4456,-5812
466,4476,-5740
467,4448,-5772
468,4488,-5780
469,4464,-5744
470,4452,-5784
471,4476,-5752
472,4464,-5768
473,4488,-5736
474,4508,-5760
475,4500,-5736
476,4516,-5724
477,4488,-5788
478,4500,-5708
479,4520,-5764
480,4504,-5728
481,4528,-5744
482,4516,-5752
483,4508,-5740
484,4524,-5764
485,4536,-5700
486,4540,-5756
487,4508,-5712
488,4524,-5748
489,4532,-5712
490,4528,-5740
491,4540,-5720
492,4568,-5696
493,4584,-5720
494,4580,-5696
495,4592,-5704
496,4612,-5684
497,4596,-5708
498,4580,-5652
499,4616,-5716
500,4588,-5680
501,4572,-5688
502,4588,-5720
503,4592,-5700
504,4580,-5700
505,4572,-5708
506,4564,-5716
507,4556,-5708
508,4560,-5720
509,4544,-5724
510,4556,-5704
511,4564,-5708
512,4556,-5716
513,4564,-5724
514,4548,-5744
515,4528,-5708
516,4552,-5716
517,4536,-5724
518,4528,-5728
519,4560,-5688
520,4552,-5736
521,4524,-5720
522,4560,-5696
523,4552,-5728
524,4572,-5700
525,4560,-5700
526,4620,-5704
527,4616,-5664
528,4576,-5700
529,4640,-5672
530,4624,-5656
531,4648,-5648
532,4664,-5660
533,4644,-5636
534,4644,-5660
535,4664,-5664
536,4672,-5612
537,4696,-5664
538,4700,-5600
539,4716,-5632
540,4744,-5592
541,4736,-5604
542,4764,-5604
543,4748,-5576
544,4772,-5612
545,4772,-5552
546,4772,-5628
547,4768,-5572
548,4772,-5572
549,4820,-5596
550,4808,-5552
551,4828,-5564
552,4832,-5536
553,4832,-5532
554,4844,-5548
555,4868,-5524
556,4896,-5524
557,4844,-5508
558,4852,-5556
559,4848,-5516
560,4860,-5516
561,4852,-5532
562,4864,-5504
563,4868,-5540
564,4832,-5516
565,4856,-5556
566,4796,-5548
567,4868,-5508
568,4828,-5548
569,4828,-5540
570,4864,-5528
571,4840,-5552
572,4884,-5536
573,4840,-5528
574,4852,-5528
575,4868,-5528
576,4856,-5544
577,4884,-5524
578,4828,-5528
579,4856,-5520
580,4852,-5552
581,4860,-5484
582,4880,-5512
583,4852,-5516
584,4868,-5484
585,4880,-5532
586,4876,-5512
587,4848,-5516
588,4904,-5500
589,4896,-5480
590,4868,-5528
591,4916,-5492
592,4900,-5500
593,4864,-5516
594,4912,-5512
595,4884,-5512
596,4872,-5500
597,4932,-5508
598,4896,-5488
599,4932,-5472
600,4912,-5512
601,4928,-5492
602,4944,-5468
603,4948,-5460
604,4960,-5468
605,4964,-5448
606,4972,-5452
607,4972,-5468
608,4988,-5428
609,4980,-5476
610,5000,-5436
611,4996,-5476
612,5020,-5424
613,5008,-5412
614,5040,-5444
615,4992,-5408
616,5012,-5460
617,5012,-5420
618,5004,-5428
619,5068,-5408
620,5028,-5408
621,5060,-5416
622,5016,-5412
623,5036,-5424
624,5068,-5392
625,5028,-5420
626,5064,-5392
627,5040,-5400
628,5048,-5408
629,5040,-5388
630,5060,-5424
631,5056,-5392
632,5036,-5408
633,5056,-5424
634,5072,-5392
635,5068,-5400
636,5076,-5384
637,5052,-5396
638,5088,-5396
639,5080,-5372
640,5068,-5384
641,5120,-5380
642,5076,-5352
643,5116,-5396
644,5068,-5388
645,5096,-5388
646,5112,-5372
647,5080,-5376
648,5124,-5376
649,5120,-5368
650,5124,-5368
651,5128,-5360
652,5128,-5356
653,5132,-5336
654,5140,-5356
655,5136,-5344
656,5144,-5344
657,5168,-5344
658,5164,-5324
659,5184,-5340
660,5172,-5312
661,5168,-5336
662,5148,-5336
663,5204,-5300
664,5216,-5320
665,5184,-5272
666,5224,-5304
667,5204,-5300
668,5220,-5292
669,5232,-5296
670,5236,-5284
671,5216,-5320
672,5256,-5276
673,5236,-5296
674,5252,-5284
675,5280,-5248
676,5248,-5284
677,5244,-5268
678,5256,-5256
679,5268,-5276
680,5256,-5252
681,5296,-5248
682,5276,-5256
683,5308,-5252
684,5276,-5260
685,5276,-5240
686,5304,-5260
687,5260,-5272
688,5316,-5236
689,5276,-5244
690,5296,-5248
691,5316,-5224
692,5260,-5244
693,5304,-5256
694,5284,-5240
695,5284,-5264
696,5312,-5224
697,5284,-5244
698,5308,-5240
699,5296,-5216
700,5336,-5244
701,5344,-5220
702,5316,-5232
703,5308,-5236
704,5312,-5248
705,5308,-5236
706,5312,-5208
707,5348,-5216
708,5332,-5224
709,5340,-5232
710,5336,-5192
711,5328,-5228
712,5328,-5216
713,5304,-5224
714,5324,-5228
715,5340,-5184
716,5380,-5204
717,5356,-5192
718,5344,-5204
719,5392,-5220
720,5348,-5168
721,5368,-5208
722,5380,-5188
723,5348,-5180
724,5384,-5204
725,5360,-5172
726,5360,-5188
727,5368,-5188
728,5352,-5188
729,5396,-5164
730,5380,-5172
731,5428,-5152
732,5400,-5156
733,5412,-5156
734,5440,-5148
735,5424,-5160
736,5404,-5156
737,5448,-5152
738,5472,-5136
739,5448,-5116
740,5476,-5132
741,5444,-5132
742,5480,-5112
743,5472,-5128
744,5472,-5096
745,5492,-5136
746,5476,-5128
747,5516,-5084
748,5512,-5112
749,5512,-5080
750,5544,-5080
751,5528,-5084
752,5576,-5056
753,5516,-5076
754,5540,-5080
755,5536,-5080
756,5524,-5080
757,5532,-5072
758,5520,-5088
759,5560,-5072
760,5496,-5080
761,5568,-5064
762,5560,-5032
763,5568,-5076
764,5556,-5068
765,5532,-5076
766,5564,-5076
767,5552,-5064
768,5564,-5064
769,5560,-5060
770,5580,-5072
771,5532,-5068
772,5588,-5056
773,5560,-5048
774,5552,-5072
775,5628,-5020
776,5548,-5064
777,5612,-5040
778,5616,-5008
779,5588,-5060
780,5648,-4996
781,5604,-5036
782,5632,-5024
783,5616,-5004
784,5656,-4992
785,5664,-4984
786,5676,-4996
787,5676,-4980
788,5664,-4980
789,5660,-4992
790,5656,-4976
791,5684,-4972
792,5680,-4996
793,5684,-4992
794,5680,-4964
795,5684,-4992
796,5664,-4992
797,5664,-4972
